Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Covid_Phase,Layoff_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2020,USA,Microsoft,Full Stack Developer,Senior,90383,48,Lockdown,Medium,73,9,39
2020,Germany,Microsoft,Frontend Developer,Senior,81628,37,Lockdown,High,78,8,43
2021,Canada,TCS,Data Scientist,Mid,102502,100,Recovery,Medium,65,9,52
2020,Germany,Amazon,Full Stack Developer,Junior,64565,55,Lockdown,High,82,9,39
2021,Germany,Netflix,Mobile Developer,Junior,107834,87,Recovery,Medium,85,10,49
2020,UK,Google,Full Stack Developer,Junior,80352,66,Lockdown,High,76,9,38
2020,Canada,TCS,Frontend Developer,Mid,64034,44,Lockdown,High,82,6,41
2020,Australia,TCS,Backend Developer,Senior,80715,35,Lockdown,High,75,8,37
2019,India,Google,Frontend Developer,Junior,26010,82,Pre-Covid,Low,27,10,35
2021,USA,Accenture,Data Scientist,Mid,115079,87,Recovery,Medium,60,5,37
2020,Australia,Microsoft,Backend Developer,Senior,60418,38,Lockdown,High,94,10,54
2019,Australia,Microsoft,Full Stack Developer,Senior,70007,90,Pre-Covid,Low,24,8,46
2021,UK,Google,Backend Developer,Mid,87346,80,Recovery,Medium,78,6,44
2020,Australia,Accenture,Full Stack Developer,Senior,79606,43,Lockdown,Medium,85,7,48
2021,USA,Meta,Data Scientist,Mid,147709,96,Recovery,Medium,78,7,37
2020,Germany,Infosys,Backend Developer,Senior,81964,65,Lockdown,High,86,8,54
2021,India,Amazon,Frontend Developer,Mid,30200,79,Recovery,Low,77,9,35
2021,UK,Google,Mobile Developer,Mid,84837,100,Recovery,Low,60,8,46
2019,UK,Google,Backend Developer,Junior,91223,68,Pre-Covid,Low,24,8,43
2020,India,Wipro,Full Stack Developer,Senior,18135,40,Lockdown,High,87,7,51
2020,Canada,Microsoft,Backend Developer,Junior,79612,59,Lockdown,Medium,82,8,48
2019,Australia,Wipro,Data Scientist,Junior,72720,65,Pre-Covid,Low,18,5,54
2019,Germany,TCS,Frontend Developer,Senior,86327,86,Pre-Covid,Low,31,6,54
2019,UK,Google,Full Stack Developer,Mid,88774,60,Pre-Covid,Low,18,8,52
2019,USA,Microsoft,Full Stack Developer,Junior,101610,65,Pre-Covid,Low,25,6,38
2019,USA,Amazon,Data Scientist,Senior,85422,85,Pre-Covid,Low,13,8,35
2020,Canada,Accenture,Mobile Developer,Mid,79435,72,Lockdown,Medium,95,10,39
2020,Canada,Infosys,Frontend Developer,Senior,61224,35,Lockdown,High,77,7,39
2021,Australia,Amazon,Mobile Developer,Junior,123982,83,Recovery,Low,71,9,45
2020,Germany,Amazon,Mobile Developer,Mid,78660,44,Lockdown,High,87,8,40
2019,Germany,Meta,Mobile Developer,Junior,72447,94,Pre-Covid,Low,20,6,48
2019,Australia,Wipro,Full Stack Developer,Junior,72257,73,Pre-Covid,Low,22,9,39
2020,Germany,Accenture,Backend Developer,Senior,74205,49,Lockdown,Medium,75,9,50
2020,Australia,Google,Frontend Developer,Senior,83046,58,Lockdown,High,73,8,43
2019,USA,Amazon,Frontend Developer,Mid,114623,80,Pre-Covid,Low,25,7,54
2020,India,IBM,Frontend Developer,Mid,9237,71,Lockdown,Medium,90,5,40
2020,India,IBM,Data Scientist,Mid,15934,52,Lockdown,Medium,83,8,44
2021,India,Google,Full Stack Developer,Mid,27346,100,Recovery,Medium,86,5,54
2019,Australia,Infosys,Frontend Developer,Senior,86662,76,Pre-Covid,Low,25,6,40
2021,Canada,TCS,Mobile Developer,Senior,92987,100,Recovery,Low,67,5,44
2020,USA,Meta,Backend Developer,Junior,67192,42,Lockdown,Medium,85,9,36
2019,India,Amazon,Backend Developer,Mid,15157,64,Pre-Covid,Low,21,6,48
2021,UK,Infosys,Frontend Developer,Senior,82956,98,Recovery,Low,88,7,53
2019,USA,Microsoft,Frontend Developer,Mid,88729,80,Pre-Covid,Low,33,7,36
2021,Germany,IBM,Frontend Developer,Senior,116262,91,Recovery,Medium,73,8,35
2021,USA,Meta,Full Stack Developer,Junior,143398,94,Recovery,Medium,68,10,36
2021,USA,Microsoft,Data Scientist,Junior,146011,98,Recovery,Medium,65,5,50
2021,UK,Accenture,Full Stack Developer,Senior,106666,88,Recovery,Medium,68,10,50
2021,USA,Amazon,Mobile Developer,Mid,142037,85,Recovery,Low,73,7,49
2020,Australia,Google,Data Scientist,Mid,69475,57,Lockdown,High,95,8,47
