Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Remote_Work,Job_Satisfaction,Work_Hours_Per_Week
2019,Germany,TCS,Backend Developer,Junior,87983,79,Yes,10,53
2013,USA,Microsoft,Full Stack Developer,Mid,75114,67,Yes,8,40
2015,USA,Accenture,Mobile Developer,Junior,97237,73,No,5,35
2017,USA,Wipro,Full Stack Developer,Junior,124767,69,No,9,51
2011,Canada,Netflix,Mobile Developer,Senior,85111,77,No,6,54
2015,UK,TCS,Frontend Developer,Mid,86494,63,Yes,5,55
2019,Canada,Accenture,Frontend Developer,Junior,112035,52,No,9,48
2017,India,Meta,Mobile Developer,Senior,31178,82,No,8,35
2017,India,Amazon,Frontend Developer,Mid,24272,93,Yes,9,47
2017,India,Microsoft,Frontend Developer,Junior,25721,90,No,8,46
2017,UK,Accenture,Data Scientist,Junior,104383,86,No,10,40
2013,Germany,TCS,Data Scientist,Junior,99623,72,No,6,43
2013,USA,Google,Full Stack Developer,Junior,81474,76,Yes,9,48
2015,India,Amazon,Data Scientist,Mid,20793,78,No,6,55
2013,Australia,Microsoft,Mobile Developer,Junior,103280,80,No,6,38
2013,India,Netflix,Backend Developer,Mid,18935,54,No,9,36
2011,India,Netflix,Backend Developer,Senior,24542,92,No,6,39
2013,India,Amazon,Full Stack Developer,Senior,29025,63,Yes,9,48
2015,Australia,TCS,Mobile Developer,Mid,91581,58,Yes,5,55
2013,USA,Wipro,Frontend Developer,Senior,95460,71,Yes,6,42
2015,USA,Amazon,Frontend Developer,Senior,86664,82,Yes,8,50
2019,UK,TCS,Data Scientist,Mid,91176,68,No,6,50
2019,USA,Netflix,Data Scientist,Senior,128878,57,No,8,37
2017,Canada,TCS,Backend Developer,Junior,81171,74,No,7,49
2011,USA,Amazon,Full Stack Developer,Junior,109726,83,Yes,5,40
2017,USA,Netflix,Mobile Developer,Junior,112595,80,Yes,5,50
2011,Australia,Wipro,Frontend Developer,Mid,67451,54,No,7,41
2013,UK,Amazon,Full Stack Developer,Junior,56441,61,Yes,7,45
2015,USA,Google,Data Scientist,Junior,101581,69,No,10,48
2019,Germany,Wipro,Mobile Developer,Mid,86364,78,No,5,49
2011,Canada,Meta,Backend Developer,Mid,67046,51,No,6,55
2011,UK,Wipro,Mobile Developer,Junior,56876,93,Yes,7,38
2017,Australia,Netflix,Mobile Developer,Senior,94158,86,Yes,6,44
2017,Canada,Wipro,Mobile Developer,Mid,86276,76,No,6,38
2011,Germany,Google,Backend Developer,Junior,98818,66,Yes,8,47
2015,UK,Infosys,Frontend Developer,Senior,82199,85,Yes,8,35
2011,India,IBM,Frontend Developer,Mid,10990,60,No,8,52
2017,India,Google,Full Stack Developer,Senior,24061,95,No,6,55
2015,India,Meta,Full Stack Developer,Mid,19793,87,Yes,8,49
2017,Australia,Infosys,Mobile Developer,Junior,107036,75,No,8,54
2011,USA,Microsoft,Frontend Developer,Junior,101589,55,No,10,52
2013,Canada,Google,Data Scientist,Mid,77956,88,No,6,40
2011,India,Microsoft,Data Scientist,Junior,23050,75,Yes,6,46
2019,Australia,Meta,Frontend Developer,Senior,118407,76,Yes,5,54
2017,Australia,Microsoft,Frontend Developer,Junior,82042,88,No,9,38
2015,Germany,Infosys,Data Scientist,Senior,83165,60,Yes,9,50
2017,USA,Meta,Mobile Developer,Mid,124782,52,No,8,36
2013,UK,Google,Data Scientist,Senior,76259,55,No,6,42
2017,Australia,IBM,Frontend Developer,Junior,81591,63,No,5,54
2019,India,Amazon,Frontend Developer,Junior,33827,54,Yes,6,51
2013,UK,Infosys,Frontend Developer,Junior,78522,66,Yes,5,49
2019,India,IBM,Mobile Developer,Senior,33277,54,No,10,46
2015,Canada,Google,Data Scientist,Senior,81148,70,Yes,8,41
2013,India,Microsoft,Mobile Developer,Junior,19445,89,No,7,45
2019,Germany,Accenture,Backend Developer,Mid,89371,87,No,9,47
2015,Canada,Netflix,Data Scientist,Senior,101329,50,Yes,8,42
2015,India,IBM,Full Stack Developer,Senior,19115,73,No,7,48
2017,Australia,Microsoft,Mobile Developer,Junior,98352,70,No,6,49
2019,Australia,IBM,Data Scientist,Senior,107155,84,No,6,50
2011,Canada,TCS,Backend Developer,Junior,64557,71,Yes,6,42
2015,UK,Accenture,Full Stack Developer,Mid,87175,67,No,6,46
2013,USA,Meta,Full Stack Developer,Mid,94447,87,No,7,54
2011,UK,Infosys,Frontend Developer,Senior,72872,82,No,7,44
2017,India,Google,Data Scientist,Mid,36121,75,Yes,8,44
2011,Germany,Microsoft,Data Scientist,Senior,97547,68,Yes,7,50
2011,Australia,Microsoft,Mobile Developer,Senior,80284,84,No,6,36
2011,Canada,TCS,Mobile Developer,Mid,84796,51,Yes,5,38
2019,India,Infosys,Backend Developer,Senior,28374,53,Yes,9,51
2013,Australia,Accenture,Mobile Developer,Mid,73828,85,No,6,52
2013,Germany,Microsoft,Data Scientist,Senior,86384,76,No,9,40
2019,India,TCS,Frontend Developer,Senior,41130,52,Yes,10,38
2011,India,Microsoft,Backend Developer,Senior,9153,93,Yes,10,37
2019,India,Infosys,Full Stack Developer,Senior,38117,57,No,9,40
2015,UK,Accenture,Backend Developer,Junior,74563,68,No,5,45
2017,India,Infosys,Data Scientist,Mid,34225,63,Yes,5,39
2019,India,Meta,Backend Developer,Mid,37141,57,Yes,8,43
2017,Canada,Microsoft,Backend Developer,Junior,89130,87,No,7,43
2013,Canada,Wipro,Mobile Developer,Senior,70844,81,Yes,5,46
2017,UK,Wipro,Frontend Developer,Senior,68062,72,Yes,6,52
2019,India,Wipro,Data Scientist,Senior,37745,93,No,7,50
2019,Canada,Google,Data Scientist,Mid,103405,87,No,10,54
2013,Canada,Wipro,Mobile Developer,Junior,97736,81,Yes,9,53
2013,Canada,Google,Backend Developer,Mid,95710,95,No,8,53
2013,Canada,Netflix,Full Stack Developer,Mid,71978,95,Yes,9,47
2011,Australia,Accenture,Full Stack Developer,Junior,70110,94,Yes,5,54
2017,UK,IBM,Backend Developer,Mid,79946,65,No,6,48
2015,UK,Infosys,Data Scientist,Junior,99956,65,Yes,5,38
2017,USA,Accenture,Backend Developer,Junior,94810,56,Yes,5,54
2015,Australia,Accenture,Backend Developer,Mid,93113,80,No,6,42
2013,Germany,Amazon,Full Stack Developer,Mid,70840,50,No,5,55
2015,India,Microsoft,Frontend Developer,Junior,21441,58,Yes,10,35
2015,Australia,Meta,Data Scientist,Senior,102131,67,Yes,5,49
2013,USA,IBM,Mobile Developer,Junior,133224,54,No,9,41
2015,Australia,Infosys,Full Stack Developer,Junior,104526,65,Yes,9,40
2013,Canada,Infosys,Mobile Developer,Junior,85754,72,No,7,40
2017,USA,Meta,Mobile Developer,Mid,89505,51,Yes,7,41
2011,Canada,IBM,Full Stack Developer,Junior,71031,95,Yes,7,36
2015,UK,Wipro,Mobile Developer,Mid,88773,50,Yes,7,37
2013,Australia,Infosys,Mobile Developer,Senior,99446,94,Yes,9,40
2013,UK,Google,Frontend Developer,Mid,91814,73,Yes,7,41
2011,Germany,Amazon,Data Scientist,Mid,93886,78,Yes,8,38
2013,Australia,Netflix,Full Stack Developer,Junior,72776,56,No,10,52
